qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
36,t1,t10,t2,t7,0.15,0.71,0.14,100.0
37,t1,t10,t3,t7,0.19,0.16,0.65,100.0
38,t1,t2,t3,t7,0.71,0.15,0.14,100.0
39,t10,t2,t3,t7,0.19,0.64,0.17,100.0
40,t1,t10,t4,t7,0.09,0.76,0.15,100.0
41,t1,t2,t4,t7,0.26,0.48,0.26,100.0
42,t10,t2,t4,t7,0.12,0.17,0.71,100.0
43,t1,t3,t4,t7,0.09,0.76,0.15,100.0
44,t10,t3,t4,t7,0.6,0.21,0.19,100.0
45,t2,t3,t4,t7,0.12,0.71,0.17,100.0
46,t1,t10,t5,t7,0.19,0.16,0.65,100.0
47,t1,t2,t5,t7,0.71,0.15,0.14,100.0
48,t10,t2,t5,t7,0.19,0.64,0.17,100.0
49,t1,t3,t5,t7,0.01,0.01,0.98,100.0
50,t10,t3,t5,t7,0.02,0.0,0.98,100.0
51,t2,t3,t5,t7,0.01,0.01,0.98,100.0
52,t1,t4,t5,t7,0.76,0.09,0.15,100.0
53,t10,t4,t5,t7,0.21,0.6,0.19,100.0
54,t2,t4,t5,t7,0.71,0.12,0.17,100.0
55,t3,t4,t5,t7,0.01,0.98,0.01,100.0
56,t1,t10,t6,t7,0.13,0.69,0.18,100.0
57,t1,t2,t6,t7,0.29,0.39,0.32,100.0
58,t10,t2,t6,t7,0.14,0.18,0.68,100.0
59,t1,t3,t6,t7,0.11,0.7,0.19,100.0
60,t10,t3,t6,t7,0.66,0.15,0.19,100.0
61,t2,t3,t6,t7,0.12,0.69,0.19,100.0
62,t1,t4,t6,t7,0.36,0.3,0.34,100.0
63,t10,t4,t6,t7,0.1,0.09,0.81,100.0
64,t2,t4,t6,t7,0.29,0.24,0.47,100.0
65,t3,t4,t6,t7,0.08,0.1,0.82,100.0
66,t1,t5,t6,t7,0.11,0.7,0.19,100.0
67,t10,t5,t6,t7,0.66,0.15,0.19,100.0
68,t2,t5,t6,t7,0.12,0.69,0.19,100.0
69,t3,t5,t6,t7,0.98,0.01,0.01,100.0
70,t4,t5,t6,t7,0.08,0.82,0.1,100.0
71,t1,t10,t2,t8,0.35,0.27,0.38,100.0
72,t1,t10,t3,t8,0.08,0.08,0.84,100.0
73,t1,t2,t3,t8,0.27,0.35,0.38,100.0
74,t10,t2,t3,t8,0.07,0.85,0.08,100.0
75,t1,t10,t4,t8,0.37,0.34,0.29,100.0
76,t1,t2,t4,t8,0.3,0.4,0.3,100.0
77,t10,t2,t4,t8,0.46,0.3,0.24,100.0
78,t1,t3,t4,t8,0.37,0.34,0.29,100.0
79,t10,t3,t4,t8,0.85,0.07,0.08,100.0
80,t2,t3,t4,t8,0.46,0.24,0.3,100.0
81,t1,t10,t5,t8,0.08,0.08,0.84,100.0
82,t1,t2,t5,t8,0.27,0.35,0.38,100.0
83,t10,t2,t5,t8,0.07,0.85,0.08,100.0
84,t1,t3,t5,t8,0.0,0.0,1.0,100.0
85,t10,t3,t5,t8,0.02,0.0,0.98,100.0
86,t2,t3,t5,t8,0.0,0.0,1.0,100.0
87,t1,t4,t5,t8,0.34,0.37,0.29,100.0
88,t10,t4,t5,t8,0.07,0.85,0.08,100.0
89,t2,t4,t5,t8,0.24,0.46,0.3,100.0
90,t3,t4,t5,t8,0.0,1.0,0.0,100.0
91,t1,t10,t6,t8,0.36,0.3,0.34,100.0
92,t1,t2,t6,t8,0.31,0.4,0.29,100.0
93,t10,t2,t6,t8,0.4,0.35,0.25,100.0
94,t1,t3,t6,t8,0.36,0.3,0.34,100.0
95,t10,t3,t6,t8,0.85,0.04,0.11,100.0
96,t2,t3,t6,t8,0.4,0.25,0.35,100.0
97,t1,t4,t6,t8,0.32,0.36,0.32,100.0
98,t10,t4,t6,t8,0.3,0.37,0.33,100.0
99,t2,t4,t6,t8,0.34,0.28,0.38,100.0
100,t3,t4,t6,t8,0.3,0.37,0.33,100.0
101,t1,t5,t6,t8,0.36,0.3,0.34,100.0
102,t10,t5,t6,t8,0.85,0.04,0.11,100.0
103,t2,t5,t6,t8,0.4,0.25,0.35,100.0
104,t3,t5,t6,t8,1.0,0.0,0.0,100.0
105,t4,t5,t6,t8,0.3,0.33,0.37,100.0
106,t1,t10,t7,t8,0.12,0.18,0.7,100.0
107,t1,t2,t7,t8,0.27,0.36,0.37,100.0
108,t10,t2,t7,t8,0.1,0.74,0.16,100.0
109,t1,t3,t7,t8,0.12,0.18,0.7,100.0
110,t10,t3,t7,t8,0.63,0.17,0.2,100.0
111,t2,t3,t7,t8,0.1,0.16,0.74,100.0
112,t1,t4,t7,t8,0.35,0.37,0.28,100.0
113,t10,t4,t7,t8,0.11,0.77,0.12,100.0
114,t2,t4,t7,t8,0.24,0.46,0.3,100.0
115,t3,t4,t7,t8,0.11,0.77,0.12,100.0
116,t1,t5,t7,t8,0.12,0.18,0.7,100.0
117,t10,t5,t7,t8,0.63,0.17,0.2,100.0
118,t2,t5,t7,t8,0.1,0.16,0.74,100.0
119,t3,t5,t7,t8,0.98,0.01,0.01,100.0
120,t4,t5,t7,t8,0.11,0.12,0.77,100.0
121,t1,t6,t7,t8,0.31,0.37,0.32,100.0
122,t10,t6,t7,t8,0.11,0.77,0.12,100.0
123,t2,t6,t7,t8,0.25,0.41,0.34,100.0
124,t3,t6,t7,t8,0.12,0.78,0.1,100.0
125,t4,t6,t7,t8,0.33,0.31,0.36,100.0
126,t5,t6,t7,t8,0.12,0.78,0.1,100.0
127,t1,t10,t2,t9,0.3,0.58,0.12,100.0
128,t1,t10,t3,t9,0.51,0.05,0.44,100.0
129,t1,t2,t3,t9,0.61,0.28,0.11,100.0
130,t10,t2,t3,t9,0.5,0.46,0.04,100.0
131,t1,t10,t4,t9,0.14,0.71,0.15,100.0
132,t1,t2,t4,t9,0.26,0.53,0.21,100.0
133,t10,t2,t4,t9,0.12,0.31,0.57,100.0
134,t1,t3,t4,t9,0.13,0.73,0.14,100.0
135,t10,t3,t4,t9,0.41,0.52,0.07,100.0
136,t2,t3,t4,t9,0.11,0.6,0.29,100.0
137,t1,t10,t5,t9,0.51,0.06,0.43,100.0
138,t1,t2,t5,t9,0.61,0.28,0.11,100.0
139,t10,t2,t5,t9,0.5,0.45,0.05,100.0
140,t1,t3,t5,t9,0.05,0.08,0.87,100.0
141,t10,t3,t5,t9,0.05,0.08,0.87,100.0
142,t2,t3,t5,t9,0.05,0.08,0.87,100.0
143,t1,t4,t5,t9,0.73,0.13,0.14,100.0
144,t10,t4,t5,t9,0.52,0.4,0.08,100.0
145,t2,t4,t5,t9,0.6,0.11,0.29,100.0
146,t3,t4,t5,t9,0.05,0.87,0.08,100.0
147,t1,t10,t6,t9,0.22,0.61,0.17,100.0
148,t1,t2,t6,t9,0.25,0.48,0.27,100.0
149,t10,t2,t6,t9,0.16,0.31,0.53,100.0
150,t1,t3,t6,t9,0.19,0.65,0.16,100.0
151,t10,t3,t6,t9,0.43,0.49,0.08,100.0
152,t2,t3,t6,t9,0.13,0.58,0.29,100.0
153,t1,t4,t6,t9,0.34,0.37,0.29,100.0
154,t10,t4,t6,t9,0.17,0.14,0.69,100.0
155,t2,t4,t6,t9,0.22,0.21,0.57,100.0
156,t3,t4,t6,t9,0.15,0.14,0.71,100.0
157,t1,t5,t6,t9,0.19,0.65,0.16,100.0
158,t10,t5,t6,t9,0.42,0.49,0.09,100.0
159,t2,t5,t6,t9,0.13,0.58,0.29,100.0
160,t3,t5,t6,t9,0.87,0.05,0.08,100.0
161,t4,t5,t6,t9,0.15,0.71,0.14,100.0
162,t1,t10,t7,t9,0.2,0.4,0.4,100.0
